Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2019-04-10;11.864,46;11.911,72;11.863,8;11.904,71;874.436.416
2019-04-09;11.927,01;11.988,53;11.850,57;11.850,57;3.117.230.848
2019-04-08;11.979,73;11.989,59;11.948,26;11.963,4;2.755.551.488
2019-04-05;11.993,22;12.024,23;11.967,7;12.009,75;3.190.375.168
2019-04-04;11.924,61;12.029,26;11.916,57;11.988,01;3.280.741.888
2019-04-03;11.855,4;11.961,36;11.854,21;11.954,4;4.059.056.640
2019-04-02;11.703,24;11.777,65;11.659,15;11.754,79;3.294.680.576
2019-04-01;11.617,18;11.706,64;11.612,7;11.681,99;4.027.214.336
2019-03-29;11.492,09;11.549,42;11.442,12;11.526,04;3.847.521.792
2019-03-28;11.422,16;11.494,15;11.414,66;11.428,16;3.245.212.416
2019-03-27;11.439,02;11.502,35;11.368,13;11.419,04;3.837.540.352
2019-03-26;11.374,18;11.447,13;11.299,8;11.419,48;3.612.043.776
2019-03-25;11.323,2;11.392;11.312,54;11.346,65;3.091.406.080
2019-03-22;11.578,39;11.623,97;11.356,49;11.364,17;4.648.299.520
2019-03-21;11.566,87;11.582,54;11.467,79;11.549,96;3.613.988.864
2019-03-20;11.704,44;11.721,41;11.596,2;11.603,89;4.652.830.720
2019-03-19;11.672,76;11.823,29;11.652,02;11.788,41;3.343.670.016
2019-03-18;11.685,54;11.712,36;11.635,88;11.657,06;3.132.567.808
2019-03-15;11.608,67;11.725,66;11.575,33;11.685,69;8.687.595.520
2019-03-14;11.573,42;11.635,76;11.541,1;11.587,47;3.565.055.488
2019-03-13;11.499,32;11.586,9;11.486,74;11.572,41;3.447.511.040
2019-03-12;11.612,46;11.618,73;11.499,47;11.524,17;3.626.647.296
2019-03-11;11.497,98;11.550,59;11.462,9;11.543,48;2.810.280.960
2019-03-08;11.429,77;11.475,55;11.405,21;11.457,84;3.491.382.016
2019-03-07;11.546,42;11.612,95;11.452,86;11.517,8;3.807.980.288
2019-03-06;11.593,21;11.652,77;11.565,22;11.587,63;2.651.564.032
2019-03-05;11.570,97;11.627,78;11.551,45;11.620,74;2.691.672.320
2019-03-04;11.646,21;11.650,44;11.591,74;11.592,66;2.627.893.248
2019-03-01;11.584,24;11.676,86;11.583,08;11.601,68;3.428.219.904
2019-02-28;11.430,8;11.524,99;11.416,08;11.515,64;3.696.711.168
2019-02-27;11.493,81;11.521,22;11.442,97;11.487,33;3.482.933.760
2019-02-26;11.446,29;11.556,87;11.441,87;11.540,79;3.332.213.760
2019-02-25;11.517,76;11.544,31;11.480,49;11.505,39;3.295.535.360
2019-02-22;11.422,62;11.504,71;11.420,74;11.457,7;2.972.969.216
2019-02-21;11.448,65;11.454,44;11.392,27;11.423,28;3.064.507.904
2019-02-20;11.338,74;11.437,47;11.318,74;11.401,97;3.343.634.176
2019-02-19;11.280,73;11.371,44;11.244,52;11.309,21;2.874.834.176
2019-02-18;11.287,74;11.318,19;11.256,27;11.299,2;2.395.563.776
2019-02-15;11.044,8;11.323,05;11.018,95;11.299,8;4.445.476.352
2019-02-14;11.257,8;11.260,55;11.077,78;11.089,79;3.486.409.728
2019-02-13;11.174,85;11.217,3;11.125,59;11.167,22;2.933.021.184
2019-02-12;11.123,43;11.164,38;11.116,86;11.126,08;3.145.137.152
2019-02-11;10.955,83;11.041,95;10.944,58;11.014,59;2.875.464.192
2019-02-08;10.991,79;11.045,41;10.863,56;10.906,78;4.768.407.552
2019-02-07;11.262,97;11.286,46;11.022,02;11.022,02;4.777.639.936
2019-02-06;11.337,54;11.347,94;11.297,42;11.324,72;3.204.030.208
2019-02-05;11.178,75;11.371,74;11.177,7;11.367,98;3.921.178.112
2019-02-04;11.180,42;11.209,31;11.100,34;11.176,58;3.578.704.896
2019-02-01;11.198,46;11.218,51;11.116,08;11.180,66;4.541.572.096
2019-01-31;11.257,92;11.311,37;11.051,11;11.173,1;4.573.062.144
2019-01-30;11.210,68;11.215,21;11.132,38;11.181,66;3.637.186.816
2019-01-29;11.191,52;11.276,28;11.159,17;11.218,83;3.202.676.224
2019-01-28;11.233,16;11.275,21;11.196,42;11.210,31;2.946.523.904
2019-01-25;11.234,05;11.321,62;11.218,35;11.281,79;4.183.266.816
2019-01-24;11.045,64;11.149,32;11.032,53;11.130,18;4.022.147.840
2019-01-23;11.043,64;11.135,75;11.007,21;11.071,54;3.297.393.152
2019-01-22;11.076,98;11.142,22;11.034,55;11.090,11;3.039.793.664
2019-01-21;11.176,12;11.179,91;11.125,53;11.136,2;2.629.720.832
2019-01-18;11.001,31;11.216,82;10.993,83;11.205,54;5.102.009.344
2019-01-17;10.852,5;10.929,3;10.822,25;10.918,62;2.943.843.328
2019-01-16;10.940,36;10.947,87;10.866,39;10.931,24;2.817.174.272
2019-01-15;10.962,95;10.994,83;10.812,59;10.891,79;3.081.178.880
2019-01-14;10.820,85;10.886,23;10.786,75;10.855,91;2.668.447.488
2019-01-11;10.949,13;10.959;10.829,92;10.887,46;3.107.425.792
2019-01-10;10.843,89;10.927,13;10.788,05;10.921,59;2.866.341.120
2019-01-09;10.884,75;10.961,92;10.839,09;10.893,32;3.743.830.272
2019-01-08;10.750,19;10.910,71;10.745,03;10.803,98;3.825.119.488
2019-01-07;10.814,39;10.814,47;10.681,27;10.747,81;2.810.341.888
2019-01-04;10.533,94;10.786,34;10.483,9;10.767,69;3.923.362.816
2019-01-03;10.467,11;10.538,66;10.400,11;10.416,66;3.157.513.984
2019-01-02;10.477,77;10.612,72;10.386,97;10.580,19;2.973.446.144
2018-12-28;10.452,02;10.586,8;10.431,38;10.558,96;2.036.179.456
2018-12-27;10.607,42;10.635,45;10.279,2;10.381,51;3.792.997.376
2018-12-21;10.573,08;10.654,66;10.512,64;10.633,82;9.476.073.472
